Survey Questions,Country,Survey Responses,Percentage
I am worried about potential side effects of a Covid-19 vaccine,Japan,3 - Neutral,0.246338216
I am worried about getting Covid-19,Japan,3 - Neutral,0.237683089
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Japan,2 - Agree,0.249667111
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Japan,2 - Agree,0.186418109
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Japan,2 - Agree,0.226364847
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Japan,2 - Agree,0.310918775
I am worried about potential side effects of a Covid-19 vaccine,Japan,2 - Agree,0.310918775
I am worried about getting Covid-19,Japan,2 - Agree,0.264980027
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Japan,1 - Strongly agree,0.177097204
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Japan,1 - Strongly agree,0.181091877
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Japan,1 - Strongly agree,0.250998668
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Japan,1 - Strongly agree,0.159786951
I am worried about potential side effects of a Covid-19 vaccine,Japan,1 - Strongly agree,0.35286285
I am worried about getting Covid-19,Japan,1 - Strongly agree,0.41011984
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,5 - Strongly disagree,0.117028271
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,5 - Strongly disagree,0.122287968
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,5 - Strongly disagree,0.099276792
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,5 - Strongly disagree,0.069033531
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,5 - Strongly disagree,0.134122288
I am worried about getting Covid-19,Netherlands,5 - Strongly disagree,0.114398422
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,4 - Disagree,0.111768573
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,4 - Disagree,0.079552926
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,4 - Disagree,0.08086785
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,4 - Disagree,0.093359632
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,4 - Disagree,0.207758054
I am worried about getting Covid-19,Netherlands,4 - Disagree,0.186719264
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,3 - Neutral,0.239973702
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,3 - Neutral,0.182117028
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,3 - Neutral,0.187376726
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,3 - Neutral,0.27547666
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,3 - Neutral,0.257067719
I am worried about getting Covid-19,Netherlands,3 - Neutral,0.372781065
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,2 - Agree,0.169625247
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,2 - Agree,0.120973044
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,2 - Agree,0.135437212
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,2 - Agree,0.257725181
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,2 - Agree,0.201840894
I am worried about getting Covid-19,Netherlands,2 - Agree,0.191978961
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,1 - Strongly agree,0.361604208
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,1 - Strongly agree,0.495069034
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,1 - Strongly agree,0.49704142
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,1 - Strongly agree,0.304404997
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,1 - Strongly agree,0.199211045
I am worried about getting Covid-19,Netherlands,1 - Strongly agree,0.134122288
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,5 - Strongly disagree,0.128452579
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,5 - Strongly disagree,0.169717138
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,5 - Strongly disagree,0.125457571
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,5 - Strongly disagree,0.073876872
I am worried about potential side effects of a Covid-19 vaccine,Norway,5 - Strongly disagree,0.124792013
I am worried about getting Covid-19,Norway,5 - Strongly disagree,0.109816972
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,4 - Disagree,0.08985025
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,4 - Disagree,0.094509151
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,4 - Disagree,0.091181364
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,4 - Disagree,0.09484193
I am worried about potential side effects of a Covid-19 vaccine,Norway,4 - Disagree,0.185024958
I am worried about getting Covid-19,Norway,4 - Disagree,0.182362729
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,3 - Neutral,0.234608985
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,3 - Neutral,0.180698835
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,3 - Neutral,0.183361065
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,3 - Neutral,0.232612313
I am worried about potential side effects of a Covid-19 vaccine,Norway,3 - Neutral,0.251580699
I am worried about getting Covid-19,Norway,3 - Neutral,0.291181364
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,2 - Agree,0.147753744
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,2 - Agree,0.102828619
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,2 - Agree,0.127454243
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,2 - Agree,0.235607321
I am worried about potential side effects of a Covid-19 vaccine,Norway,2 - Agree,0.19733777
I am worried about getting Covid-19,Norway,2 - Agree,0.210648918
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,1 - Strongly agree,0.399334443
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,1 - Strongly agree,0.452246256
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,1 - Strongly agree,0.472545757
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,1 - Strongly agree,0.363061564
I am worried about potential side effects of a Covid-19 vaccine,Norway,1 - Strongly agree,0.241264559
I am worried about getting Covid-19,Norway,1 - Strongly agree,0.205990017
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Singapore,5 - Strongly disagree,0.114227435
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Singapore,5 - Strongly disagree,0.148393677
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Singapore,5 - Strongly disagree,0.081591025
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Singapore,5 - Strongly disagree,0.033146354
I am worried about potential side effects of a Covid-19 vaccine,Singapore,5 - Strongly disagree,0.039265681
I am worried about getting Covid-19,Singapore,5 - Strongly disagree,0.068842427
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Singapore,4 - Disagree,0.145843957
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Singapore,4 - Disagree,0.160122387
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Singapore,4 - Disagree,0.104538501
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Singapore,4 - Disagree,0.064762876
I am worried about potential side effects of a Covid-19 vaccine,Singapore,4 - Disagree,0.083120857
I am worried about getting Covid-19,Singapore,4 - Disagree,0.135135135
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Singapore,3 - Neutral,0.40336563
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Singapore,3 - Neutral,0.351351351
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Singapore,3 - Neutral,0.312595614
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Singapore,3 - Neutral,0.293217746
I am worried about potential side effects of a Covid-19 vaccine,Singapore,3 - Neutral,0.230494646
I am worried about getting Covid-19,Singapore,3 - Neutral,0.286588475
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Singapore,2 - Agree,0.198878123
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Singapore,2 - Agree,0.156042835
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Singapore,2 - Agree,0.227434982
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Singapore,2 - Agree,0.341152473
I am worried about potential side effects of a Covid-19 vaccine,Singapore,2 - Agree,0.289648139
I am worried about getting Covid-19,Singapore,2 - Agree,0.266190719
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Singapore,1 - Strongly agree,0.137684855
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Singapore,1 - Strongly agree,0.18408975
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Singapore,1 - Strongly agree,0.273839878
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Singapore,1 - Strongly agree,0.267720551
I am worried about potential side effects of a Covid-19 vaccine,Singapore,1 - Strongly agree,0.357470678
I am worried about getting Covid-19,Singapore,1 - Strongly agree,0.243243243
"If I do not get a Covid-19 vaccine when it is available, I will regret it",South Korea,5 - Strongly disagree,0.055214724
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",South Korea,5 - Strongly disagree,0.106339468
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",South Korea,5 - Strongly disagree,0.078732106
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,South Korea,5 - Strongly disagree,0.057259714
I am worried about potential side effects of a Covid-19 vaccine,South Korea,5 - Strongly disagree,0.039877301
I am worried about getting Covid-19,South Korea,5 - Strongly disagree,0.050102249
"If I do not get a Covid-19 vaccine when it is available, I will regret it",South Korea,4 - Disagree,0.13803681
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",South Korea,4 - Disagree,0.178936605
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",South Korea,4 - Disagree,0.118609407
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,South Korea,4 - Disagree,0.121676892
I am worried about potential side effects of a Covid-19 vaccine,South Korea,4 - Disagree,0.123721881
I am worried about getting Covid-19,South Korea,4 - Disagree,0.121676892
"If I do not get a Covid-19 vaccine when it is available, I will regret it",South Korea,3 - Neutral,0.329243354
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",South Korea,3 - Neutral,0.27198364
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",South Korea,3 - Neutral,0.275051125
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,South Korea,3 - Neutral,0.307770961
I am worried about potential side effects of a Covid-19 vaccine,South Korea,3 - Neutral,0.296523517
I am worried about getting Covid-19,South Korea,3 - Neutral,0.252556237
"If I do not get a Covid-19 vaccine when it is available, I will regret it",South Korea,2 - Agree,0.248466258
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",South Korea,2 - Agree,0.209611452
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",South Korea,2 - Agree,0.199386503
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,South Korea,2 - Agree,0.282208589
I am worried about potential side effects of a Covid-19 vaccine,South Korea,2 - Agree,0.294478528
I am worried about getting Covid-19,South Korea,2 - Agree,0.285276074
"If I do not get a Covid-19 vaccine when it is available, I will regret it",South Korea,1 - Strongly agree,0.229038855
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",South Korea,1 - Strongly agree,0.233128834
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",South Korea,1 - Strongly agree,0.328220859
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,South Korea,1 - Strongly agree,0.231083845
I am worried about potential side effects of a Covid-19 vaccine,South Korea,1 - Strongly agree,0.245398773
I am worried about getting Covid-19,South Korea,1 - Strongly agree,0.290388548
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Spain,5 - Strongly disagree,0.178191489
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Spain,5 - Strongly disagree,0.170212766
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Spain,5 - Strongly disagree,0.121010638
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Spain,5 - Strongly disagree,0.086103723
I am worried about potential side effects of a Covid-19 vaccine,Spain,5 - Strongly disagree,0.097739362
I am worried about getting Covid-19,Spain,5 - Strongly disagree,0.068484043
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Spain,4 - Disagree,0.095744681
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Spain,4 - Disagree,0.090093085
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Spain,4 - Disagree,0.078789894
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Spain,4 - Disagree,0.095079787
I am worried about potential side effects of a Covid-19 vaccine,Spain,4 - Disagree,0.121343085
I am worried about getting Covid-19,Spain,4 - Disagree,0.07912234
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Spain,3 - Neutral,0.238031915
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Spain,3 - Neutral,0.202792553
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Spain,3 - Neutral,0.177194149
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Spain,3 - Neutral,0.278922872
I am worried about potential side effects of a Covid-19 vaccine,Spain,3 - Neutral,0.222406915
I am worried about getting Covid-19,Spain,3 - Neutral,0.184507979
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Spain,2 - Agree,0.140292553
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Spain,2 - Agree,0.111369681
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Spain,2 - Agree,0.124335106
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Spain,2 - Agree,0.234707447
I am worried about potential side effects of a Covid-19 vaccine,Spain,2 - Agree,0.194148936
I am worried about getting Covid-19,Spain,2 - Agree,0.201795213
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Spain,1 - Strongly agree,0.347739362
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Spain,1 - Strongly agree,0.425531915
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Spain,1 - Strongly agree,0.498670213
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Spain,1 - Strongly agree,0.30518617
I am worried about potential side effects of a Covid-19 vaccine,Spain,1 - Strongly agree,0.364361702
I am worried about getting Covid-19,Spain,1 - Strongly agree,0.466090426
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Sweden,5 - Strongly disagree,0.140765391
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Sweden,5 - Strongly disagree,0.177371048
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Sweden,5 - Strongly disagree,0.121797005
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Sweden,5 - Strongly disagree,0.077204659
I am worried about potential side effects of a Covid-19 vaccine,Sweden,5 - Strongly disagree,0.139101498
I am worried about getting Covid-19,Sweden,5 - Strongly disagree,0.139101498
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Sweden,4 - Disagree,0.088186356
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Sweden,4 - Disagree,0.085191348
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Sweden,4 - Disagree,0.079866889
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Sweden,4 - Disagree,0.103494176
I am worried about potential side effects of a Covid-19 vaccine,Sweden,4 - Disagree,0.193011647
I am worried about getting Covid-19,Sweden,4 - Disagree,0.178702163
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Sweden,3 - Neutral,0.235607321
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Sweden,3 - Neutral,0.169051581
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Sweden,3 - Neutral,0.17437604
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Sweden,3 - Neutral,0.283194676
I am worried about potential side effects of a Covid-19 vaccine,Sweden,3 - Neutral,0.238935108
I am worried about getting Covid-19,Sweden,3 - Neutral,0.293843594
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Sweden,2 - Agree,0.137437604
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Sweden,2 - Agree,0.093510815
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Sweden,2 - Agree,0.114475874
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Sweden,2 - Agree,0.232279534
I am worried about potential side effects of a Covid-19 vaccine,Sweden,2 - Agree,0.169051581
I am worried about getting Covid-19,Sweden,2 - Agree,0.194675541
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Sweden,1 - Strongly agree,0.398003328
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Sweden,1 - Strongly agree,0.474875208
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Sweden,1 - Strongly agree,0.509484193
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Sweden,1 - Strongly agree,0.303826955
I am worried about potential side effects of a Covid-19 vaccine,Sweden,1 - Strongly agree,0.259900166
I am worried about getting Covid-19,Sweden,1 - Strongly agree,0.193677205
"If I do not get a Covid-19 vaccine when it is available, I will regret it",United Kingdom,5 - Strongly disagree,0.082889481
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",United Kingdom,5 - Strongly disagree,0.094540613
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",United Kingdom,5 - Strongly disagree,0.070905459
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,United Kingdom,5 - Strongly disagree,0.045605859
I am worried about potential side effects of a Covid-19 vaccine,United Kingdom,5 - Strongly disagree,0.24334221
I am worried about getting Covid-19,United Kingdom,5 - Strongly disagree,0.102197071
"If I do not get a Covid-19 vaccine when it is available, I will regret it",United Kingdom,4 - Disagree,0.060585885
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",United Kingdom,4 - Disagree,0.045605859
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",United Kingdom,4 - Disagree,0.036284953
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,United Kingdom,4 - Disagree,0.06391478
I am worried about potential side effects of a Covid-19 vaccine,United Kingdom,4 - Disagree,0.252996005
I am worried about getting Covid-19,United Kingdom,4 - Disagree,0.140146471
"If I do not get a Covid-19 vaccine when it is available, I will regret it",United Kingdom,3 - Neutral,0.151797603
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",United Kingdom,3 - Neutral,0.094540613
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",United Kingdom,3 - Neutral,0.097536618
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,United Kingdom,3 - Neutral,0.202729694
I am worried about potential side effects of a Covid-19 vaccine,United Kingdom,3 - Neutral,0.214047936
I am worried about getting Covid-19,United Kingdom,3 - Neutral,0.280292943
"If I do not get a Covid-19 vaccine when it is available, I will regret it",United Kingdom,2 - Agree,0.151464714
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",United Kingdom,2 - Agree,0.08355526
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",United Kingdom,2 - Agree,0.085885486
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,United Kingdom,2 - Agree,0.30758988
I am worried about potential side effects of a Covid-19 vaccine,United Kingdom,2 - Agree,0.14713715
I am worried about getting Covid-19,United Kingdom,2 - Agree,0.231358189
"If I do not get a Covid-19 vaccine when it is available, I will regret it",United Kingdom,1 - Strongly agree,0.553262317
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",United Kingdom,1 - Strongly agree,0.681757656
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",United Kingdom,1 - Strongly agree,0.709387483
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,United Kingdom,1 - Strongly agree,0.380159787
I am worried about potential side effects of a Covid-19 vaccine,United Kingdom,1 - Strongly agree,0.142476698
I am worried about getting Covid-19,United Kingdom,1 - Strongly agree,0.246005326
